"Product ID","Category","Brand","Name","Description","Rating","Review Count"
"332125","headphones","Bose","Bose SoundTrue around-ear headphones II - Apple devices, Navy Blue","Buy Bose SoundTrue around-ear headphones II - Apple devices, Navy Blue: Over-Ear Headphones - Amazon.com ? FREE DELIVERY possible on eligible purchases","3.770351758793969","1194"
"332127","headphones","Bose","Bose SoundTrue Ultra in-ear headphones - Apple devices Charcoal","Buy Bose SoundTrue Ultra in-ear headphones - Apple devices Charcoal: Earbud Headphones - Amazon.com ? FREE DELIVERY possible on eligible purchases","3.547663551401869","535"
"332126","headphones","Bose","Bose SoundTrue Ultra in-ear headphones - Apple devices, Frost","Buy Bose SoundTrue Ultra in-ear headphones - Apple devices, Frost: Earbud Headphones - Amazon.com ? FREE DELIVERY possible on eligible purchases","3.5456238361266292","537"
"332133","headphones","XO Vision","XO Vision IR620 IR wireless headphones for in-car Video listening","The XO Vision IR620 IR wireless headphones are a treat to have on long car rides — just put them on and zone out. The XO Vision wireless headphones feature a unique foldable ear cup design to provide better comfort with extra padding. The extra foam cushi","4.625","32"
"332132","headphones","Skullcandy","Skullcandy Ink'd Earbud with Mic","Enjoy clear and comfortable sound with the Skullcandy Ink'd Earbud with Mic. It comes with multi-sized silicone gel tips, ensuring that you find the right fit for your ears. Easily manage your device and tunes, using its single-button mic and remote. The ","4.0588235294117645","34"
"6498","headphones","JVC","JVC HARX700 Precision Sound Full Size Headphones - Black","JVC HA-RX700 &bull; High-Grade Full-Size Over-Ear Headphone with Mesh Head Pad &bull; High-Grade Full-Size Headphone with Mesh Head Pad  &bull; Deep Bass Sound Reproduction with 50mm Neodymium Driver Unit and Ring Port Structure  &bull; Ring Port Structur","4.469570565386275","4634"
"332135","headphones","iFrogz","iFrogz EarPollution EP-TX-RED Toxix Headphones","The iFrogz EarPollution EP-TX-RED Toxix Headphones are stylish and their over-the-head design makes it very comfortable to wear. The side ear cups are made of soft leather and are cushion padded to give you unmatched comfort even after long hours of usage","2.78125","32"
"332129","headphones","Bose","Bose SoundSport in-ear headphones - Apple devices, Neon Blue","Amazon.com: Bose SoundSport in-ear headphones - Apple devices, Neon Blue: Electronics","4.193037214885954","2499"
"332128","headphones","Bose","Bose SoundSport In-Ear Headphones for Samsung Galaxy Models, Green","Amazon.com: Bose SoundSport In-Ear Headphones for Samsung Galaxy Models, Green: Electronics","3.9506493506493507","770"
"332131","headphones","Bravo View","Bravo View IH-05A SINGLE SOURCE Automotive IR Wireless Headphones","Warning - Choking Hazard - Children Under 3 This toy is not suitable for ages under 3 years. It contains one or more of the following items: marbles, small ball, or small parts. Enjoy music like never before with the Bravo View IH-05A SINGLE SOURCE Automo","4.28125","32"
